pk,doc,vdoc,name_french,clarification,alternative_id,representation,featuredomain_pk,designer_pk,dependson,abbreviation,sortkey_str,sortkey_int,jl_relevant_unit,jl_function,jl_formal_means
252,,0==absent||1==present,Est-il possible de marquer la possession attributive sur le possédé?,Attributive possession only. This feature applies to both pronominal and nominal possessors.,2.6.08,340,2,1,64,MarkedPossd,,64,noun + pronoun,possession,affixes & clitics (- agreement)
253,,1==Possessor-Possessed||2==Possessed-Possessor||3==both,$$Quel est l’ordre du possesseur et du possèdé dans le syntagme possessif attributif?,"In a pragmatically unmarked construction, i.e. not focus. This feature applies to both pronominal and nominal possessors.",see 2.6.09a and 2.6.09b,323,2,1,66:1 -> 65:2,OrderPosdPosr,,65,noun phrase,possession,word order
254,"Different types of possession can be, e.g., alienable/ inalienable. Then one has to check if the different types of possession uses constructions with different orders",0==absent||1==present,Est-ce que l’ordre des éléments dans le syntagme possessif est différent pour des classes différentes de possession?,"This questions pertains only to attributive possession and the order or possessor and possessum. The position of a potential linker is not relevant here. See F58 and F60 for definition of ""different classes of possession"". This feature applies to both pronominal and nominal possessors. Difference in information status or definiteness does not constitute different classes of possession.",2.6.10,299,2,1,60:0 -> 66:na,DiffOrdPoss,,66,noun phrase,possession,construction
255,,1==Decimal||2==Quinary||3==Body-part tallying||4==minimal,Quel est le system de comptage/numéral?,"We are concerned with how 1-9 is formed here, disregard 10 +. The category of decimal includes both those systems where 1-9 is non-composite and those where some numbers of 1-9 are formed by subtraction from 10 (i.e. 8 = ""10-2""). A system is deemed quinary when at least two numerals of 6-9 are formed with a morpheme that is clearly the same as for 5.",see 2.7.01 and 2.7.02 and 2.7.03a and 2.7.03b,276,1,1,67,Counting,,67,numeral,quantification,functional inventory
256,,0==absent||1==present,"Est-ce que les adjectifs fondamentaux (définis sémantiquement comme des mots qui expriment les propriétés ; valeur, forme, âge ou dimension) se comportent comme des verbes lorsqu’ils sont en position de prédicat ?","Do elements expressing predicate adjectival meaning take on verbal morphology? The adjectival roots need not take full verbal marking, if there is at least some marking that verbal and adjectival roots share then there is a yes here. The result need not be finite, participles would count if that’s what verbs do too in the relevant function. This means that if the language in question forms modifying verbs by participles (“running man”) and this is the same for adjectival roots (“redding man”) then there is a yes here.",2.8.01a,296,2,1,68,VlikePredAdj,,68,adjective,predication,conjugation
257,,0==absent||1==present,"Est-ce que des adjectifs fondamentaux (définissémantiquement comme des mots qui expriment les attributs d’évaluation, forme, âge ou dimension) requirent le même traitement morphologique que les verbes lorsqu’ils sont en position d’attribut ?","Do elements expressing attributive adjectival meaning receive the same treatment as verbs when verbs are used attributively, i.e. inside an NP? The adjectival roots need not take exactly all verbal marking. If there is at least some marking that verbal and adjectival roots share then there is a yes here. The result need not be finite, participles would count if that is the way verbs are marked when used attributively. This means that if the language in question forms modifying verbs by participles (“running man”) and this is the same for adjectival roots (“redding man”) then there is a yes here.",2.8.01b,299,2,1,69,VlikeAttrAdj,,69,adjective,attribution,head marking
258,,0==absent||1==present,,,1.1.09,240,2,1,,VoiceContr,,7,,,
259,"for case marking, include any affixal marking which appears in the NP and shows the function of the NP in the clause; do not count adpositions",0==absent||1==present,"Existe-t-il des cas grammaticaux qui affectent  des NPs basiques (i.e. S, A et O) ?","Core NPs are the NPs required by the verb to be present, typically S, A or O.",2.9.01,328,2,1,70,NPCase,,70,noun phrase,argument marking,case marking
260,Is there case marking for personal pronouns who act as core participants to the verb?,0==absent||1==present,"Existe-t-il des cas grammaticaauxpour les pronominaux basiques (i.e. S, A et O) ?","Core pronouns are the NPs required by the verb to be present, typically S, A or O.",2.9.01a,294,2,1,71,PronounCase,,71,pronoun,argument marking,case marking
261,"e.g. locationals, instrumentals, etc. do not count adpositions",0==absent||1==present,Existe-t-il des cas grammaticaux qui affectent les NPs obliques?,"Oblique NPs are NPs not required by the verb to be present, adverbial information, locative phrases, temporal phrases etc. Oblique case is defined as any bound marking that relates the role of the argument to the predicate - that is not core (S, A or O).",2.9.02,322,2,1,72,OblNPCase,,72,noun phrase,argument marking,case marking
262,,0==absent||1==present,Existe-t-il des cas grammaticaux qui affectent les pronoms obliques?,"Oblique pronouns are NPs not required by the verb to be present, adverbial information, locative phrases, temporal phrases etc. There are cases where obliques can express emphasized as core arguments. If these contexts are pragmatically marked they do not trigger a no (0) in F73 as there is still a distinction between core prototypical neutral core arguments and obliques. Oblique case is defined as any bound marking that relates the role of the argument to the predicate - that is not core (S, A or O). We explicitly exclude “genitive” from oblique cases since it is not concerned with the role of the argument to the predicate but within an NP. Languages can have oblique case without also having core case.",2.9.02a,277,2,1,73,OblPronCase,,73,pronoun,argument marking,case marking
263,,0==absent||1==present,Existe-t-il des prépositions ?,,2.9.03,323,2,1,74,Prepositions,,74,adposition,argument marking,constituent marking
264,,0==absent||1==present,Existe-t-il des postpositions ?,,2.9.04,328,2,1,75,Postpositions,,75,adposition,argument marking,constituent marking
265,Core NPs are the NPs required by the verb to be present,0==absent||1==present,"Existe-t-il des adpositions qui marquent les NPs basiques (i.e. S, A et O) ?","Core NPs are the NPs required by the verb to be present, typically S, A or O. We are not to count the arguments of non-prototypical clause types, such as copula, existential verbs or predicative possessive constructions that are construed with copulas or existential verbs as core arguments.",2.9.05,293,2,1,76,CoreNPAdpos,,76,adposition,argument marking,constituent marking
266,,0==absent||1==present,Existe-t-il des adpositions qui marquent les NPs obliques?,"Oblique NPs are NPs not required by the verb to be present, adverbial information, locative phrases, temporal phrases etc. Oblique function is defined as marking that relates the role of the argument to the predicate - that is not core (S, A or O). We explicitly exclude “genitive” from oblique cases since it is not concerned with the role of the argument to the predicate but within an NP. Languages can have oblique adpositions without also having adpositions or case marking core arguments.",2.9.06,327,2,1,77,OblNPAdpos,,77,adposition,argument marking,constituent marking
267,,0==absent||1==present,Existe-t-il une distinction entre des adpositions locatives et directionnelles?,If there are any different forms for locational and directional it would be (1). If location and direction is expressed by the same adposition always it is (0).,2.9.07,274,2,1,(74:0 ^ 75:0) -> 78:0,LocDirAdpos,,78,adposition,argument marking,constituent marking
268,"A, S, and O affixes are dealt with in 3.3",0==absent||1==present,"Existe-t-il des préfixes/proclitiques de verbe, autres que ceux qui marquent seulement A, S ou O (y compris des morphèmes portemanteaux : A & S + TAM) ?","The portmanteau morphemes in questions could be of person, number or TAM or markers of reciprocity, location, benefactive, direction etc. If there are affixes devoted to TAM solely these are also counted. Person markings expression more than one argument, relative markers or relative pronouns are also included here if they form a phonological units with the root. The outcome of this affixation has to be a verb, i.e. a affix that makes a verb into an instrumental noun for example would not count.",3.1.04a,276,2,1,(152:1 ν 101:1 ν 151:1 ν 149:1 ν 82:1 ν 83:1 ν 84:1 ν 87:1 ν 88:1 ν 107:1 ν 104:1 ν 103:1 ν 147:1 ν 148:1 ν 114:1 ν 115:1) -> (79:1 ^ 80:1),VPrefixASO,,79,verb,TAM marking,affixes & clitics (- agreement)
269,,0==absent||1==present,,,1.1.09a,208,2,1,,LaminalApical,,8,,,
270,,0==absent||1==present,"Existe-t-il des suffixes/enclitiques de verbe, autres que ceux qui marquent seulement A, S ou O (y compris des morphèmes portemanteaux : A & S + TAM) ?","The portmanteau morphemes in questions could be of person, number or TAM or markers of reciprocity, location, benefactive, direction etc. If there are affixes devoted to TAM solely these are also counted. Person markings expression more than one argument, relative markers or relative pronouns are also included here if they form a phonological units with the root. The outcome of this affixation has to be a verb, i.e. a affix that makes a verb into an instrumental noun for example would not count.",3.1.05a,288,2,1,(152:1 ν 101:1 ν 151:1 ν 149:1 ν 82:1 ν 83:1 ν 84:1 ν 87:1 ν 88:1 ν 107:1 ν 104:1 ν 103:1 ν 147:1 ν 148:1 ν 114:1 ν 115:1) -> (79:1 ^ 80:1),VSuffixASO,,80,verb,TAM marking,affixes & clitics (- agreement)
271,,0==absent||1==present,"Est-il possible  de utiliser l’infixation sur les verbes des questions de dérivation, aspect ou de changement de voix ?","This affix is stem internal, not between other affixes. Kashaya is a languge that illustrates this principle well.",3.1.06,279,2,1,81,VInfix,,81,verb,multiple,affixes & clitics (- agreement)
272,,0==absent||1==present,Est-ce que le temps présent est régulièrement marqué morphologiquement sur le verbe ?,"This question aims at capturing productive paradigms of tense. ""On the verb"" here means that the marker has to form a phonological unit with the roots. This could refer to an affix, but suppletion, tonal marking and reduplication is also included. Auxiliaries are also included in ""verbs"". This feature aims at capturing over marking of present tense on the verb, i.e. lack of other markings is not enough. Auxiliaries are also included in ""verbs"". There are instances where TAM can be expressed by a combination of an affix and auxiliary, for example some grammarians state that future tense is accomplished by a certain aspect on the verbal root and an auxiliary.  If this is the productive grammatical obligatory way of expression the tense in question than such a construction is allowed to trigger yes (1) for both ""on the verb ""and ""auxiliary"".",3.2.01a,299,2,1,82,PresTense,,82,verb,TAM marking,affixes & clitics (- agreement)
273,,0==absent||1==present,Est-ce que le temps passé est régulièrement marqué morphologiquement sur le verbe ?,"This question aims at capturing productive paradigms of tense. ""On the verb"" here means that the marker has to form a phonological unit with the roots. This could refer to an affix, but suppletion, tonal marking and reduplication is also included. Auxiliaries are also included in ""verbs"".  There are instances where TAM can be expressed by a combination of an affix and auxiliary, for example some grammarians state that future tense is accomplished by a certain aspect on the verbal root and an auxiliary. If this is the productive grammatical obligatory way of expression the tense in question than such a construction is allowed to trigger yes (1) for both ""on the verb ""and ""auxiliary"".",3.2.02a,302,2,1,83,PastTenseV,,83,verb,TAM marking,affixes & clitics (- agreement)
274,,0==absent||1==present,Est-ce que le temps futur est régulièrement marqué morphologiquement sur le verbe ?,"This question aims at capturing productive paradigms of tense. ""On the verb"" here means that the marker has to form a phonological unit with the roots. This could refer to an affix, but suppletion, tonal marking and reduplication is also included. Auxiliaries are also included in ""verbs"".  There are instances where TAM can be expressed by a combination of an affix and auxiliary, for example some grammarians state that future tense is accomplished by a certain aspect on the verbal root and an auxiliary.  If this is the productive grammatical obligatory way of expression the tense in question than such a construction is allowed to trigger yes (1) for both ""on the verb ""and ""auxiliary"".",3.2.02b,299,2,1,84,FutTenseV,,84,verb,TAM marking,affixes & clitics (- agreement)
275,,0==absent||1==present,"Existe-t-il plusieurs temps passé ou futur, c’est-à-dire plusieurs temps qui font des différences de distance par rapport au temps de référence, marqué sur le verbe ?","This question aims at capturing productive paradigms of tense. ""On the verb"" here means that the marker has to form a phonological unit with the roots. This could refer to an affix, but suppletion, tonal marking and reduplication is also included. Auxiliaries are also included in ""verbs"".  There are instances where TAM can be expressed by a combination of an affix and auxiliary, for example some grammarians state that future tense is accomplished by a certain aspect on the verbal root and an auxiliary.  If this is the productive grammatical obligatory way of expression the tense in question than such a construction is allowed to trigger yes (1) for both ""on the verb ""and ""auxiliary"".",3.2.02c,295,2,1,(83:0 ^ 84:0) - > 85:na,MultiTense,,85,verb,TAM marking,affixes & clitics (- agreement)
276,,0==absent||1==present,Existe-t-il une distinction entre aspect ponctuel/continu en temps que choix morphologique ?,"These categories could go by the name of imperfect-perfective, preterit-progressive etc. The answer could be ""yes"" even if it's only one that is overtly marked, i.e. if imperfective is by affix and perfective by auxiliary for example.",3.2.10,315,2,1,86,PunctualCont,,86,verb,TAM marking,affixes & clitics (- agreement)
277,,0==absent||1==present,Existe-t-il un distinction  de mode realis/irrealis en temps que choix morphologique?,"Markers of status (realis/irrealis) need to be dedicated to that function and possible in most TAM-contexts, it cannot be restricted to certain TAM or polarity contexts.",3.2.11,301,2,1,87,RealisIrreal,,87,verb,TAM marking,affixes & clitics (- agreement)
278,"For example, in a sentence like ""he is sick "" can you mark  ""is-sick""  with an apprehensive modal category to get the meaning  he might become sick (and this is an unwanted state of affairs that one would like to avoid) .",0==absent||1==present,Existe-t-il une catégorie modale appréhensive ? Cette catégorie peut être appeler ‘evitative’ etc.,"For example, in a sentence like ""he is sick "" can you mark  ""is-sick""  with an apprehensive modal category to get the meaning  he might become sick (and this is an unwanted state of affairs that one would like to avoid) .",3.2.12,254,2,1,88,Apprehensive,,88,verb,TAM marking,affixes & clitics (- agreement)
279,3.3.07-3.3.12 pertain to verb morphology,0==absent||1==present,Est-ce que le participant S est marque par un suffixe/enclitique (au moins parfois)?,Is there a bound post verbal marker on the verb that marks for the S-participant?,3.3.07,336,2,1,89,SSuffix,,89,verb,argument marking,head marking
280,,0==absent||1==present,,,1.1.09b,206,2,1,,RetroflexC,,9,,,
281,,0==absent||1==present,Est-ce que le participant S est marqué (au moins parfois) par un préfixe/proclitique?,Is there a bound preverbal marker on the verb that marks for the S-participant?,3.3.08,339,2,1,90,SPrefix,,90,verb,argument marking,head marking
282,,0==absent||1==present,Est-ce que le participant A est marqué (au moins parfois) par un suffixe/enclitique ?,Is there a bound post verbal marker on the verb that marks for the A-participant?,3.3.09,331,2,1,91,ASuffix,,91,verb,argument marking,head marking
283,,0==absent||1==present,Est-ce que le participant A est marqué (au moins parfois) par un préfixe/proclitique ?,Is there a bound preverbal marker on the verb that marks for the A-participant?,3.3.10,334,2,1,92,APrefix,,92,verb,argument marking,head marking
284,,0==absent||1==present,Est-ce que le participant O est marque par un suffixe/enclitique (au moins parfois)?,Is there a bound post verbal marker on the verb that marks for the O-participant?,3.3.11,331,2,1,93,OSuffix,,93,verb,argument marking,head marking
285,,0==absent||1==present,Est-ce que le participant O est marqué (au moins parfois)par un préfixe/proclitique?,Is there a bound preverbal marker on the verb that marks for the o-participant?,3.3.12,328,2,1,94,OPrefix,,94,verb,argument marking,head marking
286,3.3.15-18 refer to variations (if they occur) in 3.3.07-12,0==absent||1==present,Est-ce que les variations dans les stratégies de marquage des participants basiques sont déterminées par des distinctions de TAM ?,"By ""marking strategies of core participants"" we are referring to the placement of affix/clitic marking in relation to the verbal root. refer F95-98 does not relate to alignment (F141-142, F278-282) but to the prefix/proclitic & suffix/enclitic-features of F89-F94. The fact that arguments can be marked by independent pronouns or by verbal agreement only is not relevant here, it is the position in relation to the verbal root that is targeted.",3.3.15,313,2,1,249:0 -> 95:na,VVarTam,,95,verb,argument marking,head marking
287,,0==absent||1==present,Est-ce que les variations de marquage des participants basiques sont déterminées par des distinctions de classes de verbes?,"By ""marking strategies of core participants"" we are referring to the placement of affix/clitic marking in relation to the verbal root. F95-98 does not relate to alignment (F141-142, F278-282) but to the prefix/proclitic & suffix/enclitic-features of F89-F94. The fact that arguments can be marked by independent pronouns or by verbal agreement only is not relevant here, it is the position in relation to the verbal root that is targeted.",3.3.16,309,2,1,249:0 -> 96:na,VVarVClass,,96,verb,argument marking,head marking
288,,0==absent||1==present,Est-ce que les variations de marquage des participants basiques sont déterminées par des distinctions de types de clause (principale ou subordonnée) ?,"By ""marking strategies of core participants"" we are referring to the placement of affix/clitic marking in relation to the verbal root. F95-98 does not relate to alignment (F141-142, F278-282) but to the prefix/proclitic & suffix/enclitic-features of F89-F94. The fact that arguments can be marked by independent pronouns or by verbal agreement only is not relevant here, it is the position in relation to the verbal root that is targeted.",3.3.17,296,2,1,249:0 -> 97:na,VVarClType,,97,clause,argument marking,head marking
289,,0==absent||1==present,Est-ce que les variations de marquage des participants basiques sont déterminées par des distinctions de personnes?,"By ""marking strategies of core participants"" we are referring to the placement of affix/clitic marking in relation to the verbal root. F95-98 does not relate to alignment (F141-142, F278-282) but to the prefix/proclitic & suffix/enclitic-features of F89-F94. The fact that arguments can be marked by independent pronouns or by verbal agreement only is not relevant here, it is the position in relation to the verbal root that is targeted.",3.3.18,312,2,1,249:0 -> 98:na,VVarPerson,,98,clause,argument marking,head marking
290,,0==absent||1==present,Est-ce que les bases verbales varient selon la personne d’un participant basique?,I.e. can suppletion mark person?,3.3.21,299,2,1,99,PersonStemAlt,,99,verb,person,suppletion
